repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds,base_sha_of_first_sample_pr,python_requires,lock_kind
crewAIInc/crewAI,57836,2026-08-28T22:36:31Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options],12,7118;7117;7115;7066;7065,claude-coauthor;claude-code-gen;robot-gen,4bc5d2924218e892bd0bc91b46352b49b0d3a740,">=3.10,<3.14",uv.lock
omicverse/omicverse,1192,2026-08-28T09:41:27Z,pinned:requirements.txt,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,12,941;940;939;938;937,claude-coauthor;claude-code-gen;robot-gen,c3d00678bd8ad72109f530092be7085c043636fd,>=3.9,pinned-requirements
reflex-dev/reflex,28868,2026-09-02T02:21:31Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,11,6994;6992;6991;6990;6989,claude-coauthor;claude-code-gen;robot-gen,6c6a3985648e1de8d8ad2637e6e7851c400a7ebf,">=3.10,<4.0",uv.lock
Soju06/codex-lb,2887,2026-08-31T01:09:47Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,11,1978;1977;1974;1973;1972,claude-code-gen;robot-gen,1d9332a32c3a62abdd1edd1d65b42b5eb4b1dacb,>=3.13,uv.lock
ohdearquant/lionagi,406,2026-08-26T07:33:12Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,11,3404;2551;2550;2549;2504,claude-coauthor;claude-code-gen;robot-gen,f20337057a1c310e7f734361f76dbd86430e55f3,>=3.10,uv.lock
psd-tools/psd-tools,1454,2026-09-02T03:01:36Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,10,783;782;779;776;775,claude-code-gen;robot-gen,cd3a73997352edee693b2bc676a4b881fe936826,>=3.10,uv.lock
Human-Agent-Society/CORAL,939,2026-08-31T05:34:05Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,10,177;175;170;169;167,claude-coauthor;claude-code-gen;robot-gen,c535d91a3118669a2ca46dfd6dc0fa447c17b03a,">=3.11, <3.14",uv.lock
martymcenroe/AssemblyZero,110,2026-09-02T02:59:41Z,poetry.lock,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,10,2548;2543;2541;2537;2535,claude-coauthor;claude-code-gen;robot-gen,3f85294970f8e5ab0b691d0674004ec4f66644b1,">=3.12,<4.0",poetry.lock
brcampidelli/chimera-agent,20,2026-08-30T20:40:31Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,10,266;264;263;261;260,claude-code-gen;robot-gen,a8542cf540c71f57b5b0d595ad379afc6813a501,">=3.11,<3.14",uv.lock
openshift-eng/art-tools,12,2026-08-30T01:10:35Z,uv.lock+pyproject.toml,pyproject:pytest-dep,10,3329;3320;3318;3307;3300,claude-coauthor;claude-code-gen;robot-gen,827f6be926e036e5f8ad3d7ed499d90e37303565,>=3.11,uv.lock
