repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds
OpenHands/software-agent-sdk,1043,2026-08-30T02:46:22Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,9,3813;3548;3510;3506;3480,claude-coauthor;codex;openhands;robot-gen
electricitymaps/electricitymaps-contrib,4027,2026-08-28T15:20:33Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,8,8808;8802;8787;8782;8773,claude-code-gen;robot-gen
keboola/mcp-server,86,2026-08-28T14:08:21Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,7,580;578;574;565;564,claude-code-gen;robot-gen
SamMorrowDrums/remarkable-mcp,213,2026-08-17T09:38:56Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options],7,117;116;113;111;110,copilot
microsoft/apm,3667,2026-08-30T08:42:29Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,5,2700;2694;2682;2662;2658,copilot
learntocloud/learn-to-cloud-app,794,2026-08-29T00:29:02Z,uv.lock+pyproject.toml,pyproject:pytest-dep,5,634;633;632;592;561,copilot
apache/airflow,46647,2026-08-30T00:51:24Z,uv.lock+pyproject.toml,pyproject:pytest-dep,5,71714;71083;70374;70102;69334,claude-coauthor;copilot;cursor
microsoft/PyRIT,4377,2026-08-29T22:46:32Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],5,2187;2146;1931;1877;1786,copilot
FalkorDB/QueryWeaver,1072,2026-08-26T12:51:21Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,4,722;720;644;643,copilot
ohdearquant/lionagi,406,2026-08-26T07:33:12Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,4,1824;1702;1602;1386,claude-coauthor;claude-code-gen;robot-gen
PostHog/posthog,39478,2026-08-30T09:19:34Z,uv.lock+pyproject.toml,pytest.ini|conftest.py|pyproject:pytest-dep,4,65460;65180;63449;63191,claude-code-gen;robot-gen
harbor-framework/harbor,4769,2026-08-29T23:18:54Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,4,2613;2041;1970;1796,claude-coauthor;claude-code-gen;devin;openhands;robot-gen
FalkorDB/code-graph,347,2026-08-25T02:54:29Z,uv.lock+pyproject.toml,pyproject:pytest-dep|tests/test_*.py,4,702;701;698;678,copilot
gadievron/raptor,3681,2026-08-30T00:40:16Z,pinned:requirements-dev.txt,pytest.ini|conftest.py,4,922;921;920;919,claude-coauthor
headroomlabs-ai/headroom,68046,2026-08-30T07:58:54Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,3,2741;2058;1943,claude-code-gen;robot-gen
PriorLabs/tabpfn-extensions,324,2026-08-27T14:19:43Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,3,360;348;327,claude-code-gen;robot-gen
csmar432/finai-research,111,2026-08-30T06:32:32Z,pinned:requirements-ci-lock.txt,conftest.py|pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,3,141;140;127,claude-coauthor;cursor
vllm-project/guidellm,1554,2026-08-30T03:22:25Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options],3,1044;615;605,claude-coauthor;claude-code-gen;cursor;robot-gen
BerriAI/litellm,57575,2026-08-30T07:57:19Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,3,32077;31905;30130,claude-code-gen;cursor;robot-gen
geoparquet/geoparquet-io,158,2026-08-30T09:08:08Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,3,757;753;752,claude-code-gen;robot-gen
OpenHands/benchmarks,117,2026-08-26T19:21:30Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py,3,755;740;711,openhands
Azure/gpt-rag-orchestrator,101,2026-08-17T21:50:17Z,pinned:requirements.txt,pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,3,308;269;246,copilot
adrianco/retort,199,2026-08-30T07:08:31Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/test_*.py|tests/conftest.py,3,37;36;35,claude-code-gen;robot-gen
