repo,stage,verdict,examined,qualifying,sample_prs,ok,no_test_path,no_verbatim_trailer,too_large,no_source_path
0xzr/freellmpool,3,no_lockfile,0,0,0,0,0,0,0,0
1218448175/SuperBizAgent,2,under_stars,0,0,0,0,0,0,0,0
1Kyryll/Benji,2,under_stars,0,0,0,0,0,0,0,0
1not3rf4n/vpn-bot,2,under_stars,0,0,0,0,0,0,0,0
1semptify-arch/Semptify,2,under_stars,0,0,0,0,0,0,0,0
1solomonwakhungu/discord-cli,2,under_stars,0,0,0,0,0,0,0,0
20231118185SSPU/DeepPPT,2,under_stars,0,0,0,0,0,0,0,0
2026Graduation-Work/Stock_Prediction_v2,2,under_stars,0,0,0,0,0,0,0,0
2389-research/orrery,2,under_stars,0,0,0,0,0,0,0,0
2463-FDE/AD-riverbend-portal,2,fork,0,0,0,0,0,0,0,0
2513502304/WaifuBoard,2,under_stars,0,0,0,0,0,0,0,0
3rdAI-admin/th3rdai-harness,2,under_stars,0,0,0,0,0,0,0,0
4444J99/limen,2,under_stars,0,0,0,0,0,0,0,0
4reeb-5yed/forge,2,under_stars,0,0,0,0,0,0,0,0
525300887039/BareAgent,2,under_stars,0,0,0,0,0,0,0,0
7ringuy4n/hermes-stack,2,under_stars,0,0,0,0,0,0,0,0
8fqycwdt8v-oss/Chemclaw3,2,under_stars,0,0,0,0,0,0,0,0
9owlsboston/resumable-batch,2,under_stars,0,0,0,0,0,0,0,0
A-C-I-SOFTWARE-AND-DEVELOPMENT/M.U.S.E,2,under_stars,0,0,0,0,0,0,0,0
AIKAGRYA/dharma_swarm,2,under_stars,0,0,0,0,0,0,0,0
AMD-AGI/GEAK,3,no_lockfile,0,0,0,0,0,0,0,0
AOSSIE-Org/PictoPy,3,no_lockfile,0,0,0,0,0,0,0,0
Abdulrahman1191/deal-flow,2,under_stars,0,0,0,0,0,0,0,0
Adam-S-Daniel/skills-evals,2,under_stars,0,0,0,0,0,0,0,0
AdarGit008/mcgyvr,2,under_stars,0,0,0,0,0,0,0,0
Adarsh077/xcp,2,under_stars,0,0,0,0,0,0,0,0
AetherAI3/Unlimited-Context-LLM,3,no_lockfile,0,0,0,0,0,0,0,0
AfterQuery/harbor,2,fork,0,0,0,0,0,0,0,0
Akagilnc/ming-salvage-sim,2,fork,0,0,0,0,0,0,0,0
Aletheore/Aletheore,2,under_stars,0,0,0,0,0,0,0,0
AlexAsplund/Vanchor,3,no_lockfile,0,0,0,0,0,0,0,0
AlexBulankou/honest-bench,2,under_stars,0,0,0,0,0,0,0,0
AlexanderMattTurner/agent-glovebox,4,too_few_qualifying_prs,5,2,2,2,3,0,0,0
Alexli18/binex,3,no_lockfile,0,0,0,0,0,0,0,0
Alishahryar1/free-claude-code,4,too_few_qualifying_prs,5,0,0,0,0,5,0,0
AlkaidCheng/grimoire,2,under_stars,0,0,0,0,0,0,0,0
All-The-Vibes/ATV-Phoenix,2,under_stars,0,0,0,0,0,0,0,0
AllStreets/ONEXUS-Agents,2,under_stars,0,0,0,0,0,0,0,0
AllanSantos-DV/like-move,2,under_stars,0,0,0,0,0,0,0,0
AmbiqAI/helia-profiler,2,under_stars,0,0,0,0,0,0,0,0
AmbiqAI/neuralspotx,2,under_stars,0,0,0,0,0,0,0,0
AndyRKeys/ai-dev-template,2,under_stars,0,0,0,0,0,0,0,0
Angrysquid46/Tradysquid,2,under_stars,0,0,0,0,0,0,0,0
ApollosProject/bug-board,2,under_stars,0,0,0,0,0,0,0,0
ArdeleanLucas/PARSE,2,under_stars,0,0,0,0,0,0,0,0
Arithmomaniac/copilot-session-tools,2,stale,0,0,0,0,0,0,0,0
Arj0010/cloc,2,under_stars,0,0,0,0,0,0,0,0
ArmonicPvP/gw2bot,2,under_stars,0,0,0,0,0,0,0,0
ArtemLevin/agent-skills,2,under_stars,0,0,0,0,0,0,0,0
Ashish-Soni08/ai-prophecy-court,2,under_stars,0,0,0,0,0,0,0,0
AssociationInfoclimat/data-platform,2,under_stars,0,0,0,0,0,0,0,0
Atharva2007create/MMCOE-Teacher-Assistant-Pro,2,under_stars,0,0,0,0,0,0,0,0
AuroraGrid/intel-tripwire,2,under_stars,0,0,0,0,0,0,0,0
AutomatosAI/automatos-ai,3,no_lockfile,0,0,0,0,0,0,0,0
AutumnGao77/ai-progress-monitor,2,under_stars,0,0,0,0,0,0,0,0
AvaCodeSolutions/django-email-learning,4,QUALIFIED,10,6,5,6,1,0,0,3
Avkroken/Docker-idempotent-update,2,under_stars,0,0,0,0,0,0,0,0
Avkroken/Pastebinit,2,under_stars,0,0,0,0,0,0,0,0
Avkroken/Produkter,2,under_stars,0,0,0,0,0,0,0,0
Ayyitskevin/Chronos,2,under_stars,0,0,0,0,0,0,0,0
Ayyitskevin/athena,2,under_stars,0,0,0,0,0,0,0,0
Ayyitskevin/hestia,2,under_stars,0,0,0,0,0,0,0,0
Ayyitskevin/plutus,2,under_stars,0,0,0,0,0,0,0,0
Azure/GPT-RAG,3,no_lockfile,0,0,0,0,0,0,0,0
Azure/agentops,4,QUALIFIED,4,3,3,3,1,0,0,0
Azure/azure-cli,3,no_lockfile,0,0,0,0,0,0,0,0
Azure/azure-functions-agents-runtime,2,under_stars,0,0,0,0,0,0,0,0
